_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,ocupacaoCovidUti,ocupacaoCovidCli,ocupacaoHospitalarUti,ocupacaoHospitalarCli,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
641508,PBGTlqtFBP,2022-01-17T03:00:00.000Z,2379341,13.0,8.0,0.0,0.0,0.0,1.0,8.0,12.0,0.0,1.0,0.0,1.0,parse-cloud,_User$m6WdvZgbBS,Santa Catarina,Mafra,Santa Catarina,Mafra,False,False,2021-02-15T11:08:07.797Z,2022-01-17T21:56:42.351Z
1275198,ipPHkH1yIB,2022-01-05T03:00:00.000Z,2594366,,,,,0.0,0.0,9.0,31.0,0.0,0.0,0.0,0.0,parse-cloud,_User$C2nTBR5lmy,Parana,Umuarama,Parana,Umuarama,False,False,2021-12-08T10:42:04.123Z,2022-01-05T14:17:35.799Z
1290474,oDyVTndNXc,2022-01-01T03:00:50.682Z,2747871,,,,,1.0,9.0,3.0,14.0,0.0,0.0,0.0,0.0,parse-cloud,_User$APEoiAf61c,Sao Paulo,Ilhabela,Sao Paulo,Ilhabela,False,False,2022-01-01T03:34:58.234Z,2022-01-01T03:34:58.234Z
1290489,cTrwNtInVV,2022-01-01T03:00:08.570Z,2082497,,,,,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,parse-cloud,_User$q0FgtTNz2d,Sao Paulo,Bernardino de Campos,Sao Paulo,Bernardino de Campos,False,False,2022-01-01T04:50:29.194Z,2022-01-01T04:50:29.194Z
1290490,CPkiO32WyI,2022-01-01T03:00:14.691Z,2092980,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,parse-cloud,_User$u4yOaQOJlf,Sao Paulo,Bastos,Sao Paulo,Bastos,False,False,2022-01-01T05:01:31.468Z,2022-01-01T05:01:31.468Z
1290494,3ACxSyKSCK,2022-01-01T03:00:37.005Z,2664984,,,,,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,parse-cloud,_User$qGap5eiTEq,Santa Catarina,Palmitos,Santa Catarina,Palmitos,False,False,2022-01-01T05:50:49.260Z,2022-01-01T05:50:49.260Z
1290495,NwjnjsHbot,2022-01-01T03:00:06.730Z,2252260,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,parse-cloud,_User$xM5hias4w2,Rio Grande do Sul,Estrela,Rio Grande do Sul,Estrela,False,False,2022-01-01T05:53:25.682Z,2022-01-01T05:53:25.682Z
1290496,phtJiP6gpe,2022-01-01T03:00:21.351Z,2078511,,,,,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,parse-cloud,_User$q46U1ECOev,Sao Paulo,Ilha Solteira,Sao Paulo,Ilha Solteira,False,False,2022-01-01T05:53:35.231Z,2022-01-01T05:53:35.231Z
1290498,DjdziRthvF,2022-01-01T03:00:37.452Z,2082438,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,parse-cloud,_User$yklFg4R3ag,Sao Paulo,Chavantes,Sao Paulo,Chavantes,False,False,2022-01-01T08:35:47.103Z,2022-01-01T08:35:47.103Z
1290499,CzqSqHKQiu,2022-01-01T03:00:22.259Z,2077655,,,,,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,parse-cloud,_User$spMHnfRCha,Sao Paulo,Sao Paulo,Sao Paulo,Sao Paulo,False,False,2022-01-01T08:43:00.591Z,2022-01-01T08:43:00.591Z
1290500,Dxb7NbHg5h,2022-01-01T03:00:44.698Z,2250802,,,,,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,parse-cloud,_User$0wPKZRMBPK,Rio Grande do Sul,Campina das Missoes,Rio Grande do Sul,Campina das Missoes,False,False,2022-01-01T08:49:25.411Z,2022-01-01T08:49:25.411Z
1290501,Ao1uOodYCZ,2022-01-01T03:00:15.398Z,4054695,,,,,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,parse-cloud,_User$jnuYKPAj1L,Parana,Palotina,Parana,Palotina,False,False,2022-01-01T09:13:13.966Z,2022-01-01T09:13:13.966Z
1290503,m4Y8OTlYyL,2022-01-01T03:00:46.652Z,2091267,,,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,parse-cloud,_User$dhmqBf0VOQ,Sao Paulo,Santa Rita do Passa Quatro,Sao Paulo,Santa Rita do Passa Quatro,False,False,2022-01-01T09:24:48.668Z,2022-01-01T09:24:48.668Z
1290504,mZ98r8PBcH,2022-01-01T03:00:20.504Z,2760681,,,,,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,parse-cloud,_User$k1UHRmnd2r,Minas Gerais,Aiuruoca,Minas Gerais,Aiuruoca,False,False,2022-01-01T09:35:14.370Z,2022-01-01T09:35:14.370Z
1290505,KLB7vMiCu3,2022-01-01T03:00:24.957Z,2168421,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,parse-cloud,_User$NpofJm9yZB,Minas Gerais,Areado,Minas Gerais,Areado,False,False,2022-01-01T09:36:38.754Z,2022-01-01T09:36:38.754Z
1290510,EuUlRtqvX0,2022-01-01T03:00:22.332Z,3119122,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,parse-cloud,_User$7cYNgrhGvX,Sao Paulo,Sao Paulo,Sao Paulo,Sao Paulo,False,False,2022-01-01T09:42:40.707Z,2022-01-01T09:42:40.707Z
1290514,oqKAmlngim,2022-01-01T03:00:47.451Z,0002372,,,,,15.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,parse-cloud,_User$aW1MZjcdjB,Sergipe,Aracaju,Sergipe,Aracaju,False,False,2022-01-01T10:01:03.094Z,2022-01-01T10:01:03.094Z
1290515,JwESE797Au,2022-01-01T03:00:41.574Z,2521695,,,,,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,parse-cloud,_User$Rjry95ShdM,Santa Catarina,Rio Negrinho,Santa Catarina,Rio Negrinho,False,False,2022-01-01T10:01:37.896Z,2022-01-01T10:01:37.896Z
1290516,qQcK5Oebq7,2022-01-01T03:00:22.697Z,2278456,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,parse-cloud,_User$VKzMZEiK8e,Rio de Janeiro,Mage,Rio de Janeiro,Mage,False,False,2022-01-01T10:06:09.269Z,2022-01-01T10:06:09.269Z
1290517,dwQQ1GB92d,2022-01-01T03:00:20.948Z,2778858,,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,parse-cloud,_User$c96NGwtTSF,Santa Catarina,Treze de Maio,Santa Catarina,Treze de Maio,False,False,2022-01-01T10:11:04.159Z,2022-01-01T10:11:04.159Z
1290518,HA8vZdt25I,2022-01-01T03:00:04.791Z,701404614483738,,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,parse-cloud,_User$aLKwy4ywhJ,Goias,Sanclerlandia,Goias,Sanclerlandia,False,False,2022-01-01T10:13:43.619Z,2022-01-01T10:13:43.619Z
1290519,Quars7gCSs,2022-01-01T03:00:59.467Z,2250705,,,,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,parse-cloud,_User$vf1EYFKLpS,Rio Grande do Sul,Boa Vista do Burica,Rio Grande do Sul,Boa Vista do Burica,False,False,2022-01-01T10:14:48.222Z,2022-01-01T10:14:48.222Z
1290520,NOEASFhilm,2022-01-01T03:00:51.357Z,2305623,,,,,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,parse-cloud,_User$VqC28Eqs9w,Santa Catarina,Praia Grande,Santa Catarina,Praia Grande,False,False,2022-01-01T10:15:25.301Z,2022-01-01T10:15:25.301Z
1290521,NEWsZ19Gyu,2022-01-01T03:00:58.572Z,2521296,,,,,21.0,11.0,21.0,36.0,0.0,0.0,0.0,0.0,parse-cloud,_User$tpokw2hpP3,Santa Catarina,Joinville,Santa Catarina,Joinville,False,False,2022-01-01T10:17:03.971Z,2022-01-01T10:17:03.971Z
1290522,KoI5S97Eif,2022-01-01T03:00:54.432Z,2418967,,,,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,parse-cloud,_User$oDAMBtqQMB,Santa Catarina,Sao Joao Batista,Santa Catarina,Sao Joao Batista,False,False,2022-01-01T10:19:17.539Z,2022-01-01T10:19:17.539Z
1290523,3Bsaurvf76,2022-01-01T03:00:01.962Z,2538342,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,parse-cloud,_User$iy0HNGJ1ks,Santa Catarina,Quilombo,Santa Catarina,Quilombo,False,False,2022-01-01T10:20:27.742Z,2022-01-01T10:20:27.742Z
1290524,urG2BCFBFE,2022-01-01T03:00:29.013Z,2128020,,,,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,parse-cloud,_User$2sxF72PsmR,Minas Gerais,Bueno Brandao,Minas Gerais,Bueno Brandao,False,False,2022-01-01T10:20:35.762Z,2022-01-01T10:20:35.762Z
1290526,3LgopZi14e,2022-01-01T03:00:01.646Z,2745402,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,parse-cloud,_User$TnywR5lKkj,Sao Paulo,Florida Paulista,Sao Paulo,Florida Paulista,False,False,2022-01-01T10:21:25.134Z,2022-01-01T10:21:25.134Z
1290527,PdJbvYamX5,2022-01-01T03:00:35.639Z,2195453,,,,,0.0,0.0,16.0,73.0,0.0,0.0,0.0,0.0,parse-cloud,_User$ewTigPaYw1,Minas Gerais,Muriae,Minas Gerais,Muriae,False,False,2022-01-01T10:22:07.664Z,2022-01-01T10:22:07.664Z
1290528,vBM3HFB7f1,2022-01-01T03:00:24.218Z,2081652,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,parse-cloud,_User$aeFf7fBgHG,Sao Paulo,General Salgado,Sao Paulo,General Salgado,False,False,2022-01-01T10:22:44.902Z,2022-01-01T10:22:44.902Z
1290531,nbiok50ugT,2022-01-01T03:00:26.460Z,2504316,,,,,1.0,0.0,10.0,61.0,1.0,0.0,0.0,1.0,parse-cloud,_User$voBizZYbfN,Santa Catarina,Lages,Santa Catarina,Lages,False,False,2022-01-01T10:28:04.089Z,2022-01-01T10:28:04.089Z
1290534,Ij9GN0F9bI,2022-01-01T03:00:51.047Z,2716593,,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,parse-cloud,_User$KdhBHiGc60,Sao Paulo,Altinopolis,Sao Paulo,Altinopolis,False,False,2022-01-01T10:31:38.235Z,2022-01-01T10:31:38.235Z
1290535,gHvgDClidZ,2022-01-01T03:00:53.887Z,2250675,,,,,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,parse-cloud,_User$HClqPsAcCx,Rio Grande do Sul,Candido Godoi,Rio Grande do Sul,Candido Godoi,False,False,2022-01-01T10:32:12.175Z,2022-01-01T10:32:12.175Z
1290536,nuyhNjuXqY,2022-01-01T03:00:28.659Z,2775972,,,,,0.0,0.0,0.0,12.0,1.0,3.0,0.0,0.0,parse-cloud,_User$MuFBYyE0pj,Minas Gerais,Boa Esperanca,Minas Gerais,Boa Esperanca,False,False,2022-01-01T10:33:32.780Z,2022-01-01T10:33:32.780Z
1290537,zUu6A6K6Ys,2022-01-01T03:00:14.909Z,2091275,,,,,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,parse-cloud,_User$OEE7EMHOfk,Sao Paulo,Santa Rita do Passa Quatro,Sao Paulo,Santa Rita do Passa Quatro,False,False,2022-01-01T10:35:11.766Z,2022-01-01T10:35:11.766Z
1290538,YCVk17XdTR,2022-01-01T03:00:22.800Z,2079232,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,parse-cloud,_User$D0UJtJsBmp,Sao Paulo,Santa Barbara d'Oeste,Sao Paulo,Santa Barbara d'Oeste,False,False,2022-01-01T10:40:38.678Z,2022-01-01T10:40:38.678Z
1290539,nwy4CQUmFE,2022-01-01T03:00:22.541Z,2153882,,,,,1.0,3.0,56.0,179.0,0.0,2.0,0.0,0.0,parse-cloud,_User$GaV5hTpAlo,Minas Gerais,Juiz de Fora,Minas Gerais,Juiz de Fora,False,False,2022-01-01T10:41:58.728Z,2022-01-01T10:41:58.728Z
1290540,IXcGNlmJxM,2022-01-01T03:00:28.519Z,2208172,,,,,0.0,0.0,5.0,55.0,0.0,0.0,0.0,0.0,parse-cloud,_User$zMzO7n7G3A,Minas Gerais,Teofilo Otoni,Minas Gerais,Teofilo Otoni,False,False,2022-01-01T10:42:44.736Z,2022-01-01T10:42:44.736Z
1290541,TiXA1qBjBN,2022-01-01T03:00:26.573Z,2112175,,,,,0.0,1.0,10.0,17.0,0.0,0.0,0.0,0.0,parse-cloud,_User$6JXcW1KZnZ,Minas Gerais,Lavras,Minas Gerais,Lavras,False,False,2022-01-01T10:43:08.124Z,2022-01-01T10:43:08.124Z
1290542,4F2gERBybh,2022-01-01T03:00:45.860Z,2084244,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,parse-cloud,_User$mnPFK8xnzg,Sao Paulo,Indaiatuba,Sao Paulo,Indaiatuba,False,False,2022-01-01T10:43:56.329Z,2022-01-01T10:43:56.329Z
1290543,E8PNK97xwL,2022-01-01T03:00:55.416Z,5412447,,,,,18.0,0.0,17.0,136.0,0.0,0.0,0.0,0.0,parse-cloud,_User$YQOi8zdpzB,Rio de Janeiro,Macae,Rio de Janeiro,Macae,False,False,2022-01-01T10:44:29.276Z,2022-01-01T10:44:29.276Z
1290544,ffB6cwFNZO,2022-01-01T03:00:30.679Z,2007037,,,,,0.0,0.0,10.0,38.0,0.0,0.0,0.0,0.0,parse-cloud,_User$BnJ87kOYy0,Alagoas,Maceio,Alagoas,Maceio,False,False,2022-01-01T10:44:46.433Z,2022-01-01T10:44:46.433Z
1290545,mhJsyjQTH1,2022-01-01T03:00:30.759Z,2411393,,,,,0.0,0.0,20.0,58.0,0.0,0.0,0.0,0.0,parse-cloud,_User$OeFQmhUOX6,Santa Catarina,Xanxere,Santa Catarina,Xanxere,False,False,2022-01-01T10:44:47.776Z,2022-01-01T10:44:47.776Z
1290546,oEM6pOB6NT,2022-01-01T03:00:05.018Z,0213845,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,parse-cloud,_User$o3tveLz3RY,Parana,Guarapuava,Parana,Guarapuava,False,False,2022-01-01T10:44:55.403Z,2022-01-01T10:44:55.403Z
1290547,NxCvJbpJVG,2022-01-01T03:00:57.691Z,2122650,,,,,2.0,1.0,7.0,18.0,0.0,0.0,0.0,0.0,parse-cloud,_User$Jb3Aw9Q6vu,Minas Gerais,Leopoldina,Minas Gerais,Leopoldina,False,False,2022-01-01T10:45:57.241Z,2022-01-01T10:45:57.241Z
1290552,TuRLI541eH,2022-01-01T03:00:08.961Z,2119528,,,,,4.0,3.0,10.0,26.0,0.0,0.0,0.0,0.0,parse-cloud,_User$AbjowLXk3y,Minas Gerais,Pirapora,Minas Gerais,Pirapora,False,False,2022-01-01T10:53:21.706Z,2022-01-01T10:53:21.706Z
1290554,x7aWuVQln0,2022-01-01T03:00:05.550Z,2168707,,,,,5.0,10.0,0.0,14.0,1.0,0.0,0.0,0.0,parse-cloud,_User$i4i2XbiU7c,Minas Gerais,Bom Despacho,Minas Gerais,Bom Despacho,False,False,2022-01-01T10:55:16.192Z,2022-01-01T10:55:16.192Z
1290555,Th13A0FSO2,2022-01-01T03:00:45.248Z,2139049,,,,,0.0,0.0,0.0,16.0,48.0,78.0,37.0,157.0,parse-cloud,_User$vtQYMRgZu8,Minas Gerais,Pedra Azul,Minas Gerais,Pedra Azul,False,False,2022-01-01T10:55:32.490Z,2022-01-01T10:55:32.490Z
